,name,group,round,id_in_group,guess,twothirds,best,win,payoff,id,strategy
64,GoR_2,27,1,1,44.0,29.67,44.0,1,1.51,0ywn59c9,
65,GoR_2,27,1,2,45.0,29.67,44.0,0,0.51,qej3iete,
66,GoR_2,27,2,1,30.0,19.0,27.0,0,1.51,0ywn59c9,
67,GoR_2,27,2,2,27.0,19.0,27.0,1,0.51,qej3iete,
68,GoR_2,27,3,1,25.0,16.67,25.0,1,1.51,0ywn59c9,
69,GoR_2,27,3,2,25.0,16.67,25.0,1,0.51,qej3iete,
70,GoR_2,27,4,1,20.0,14.33,20.0,1,1.51,0ywn59c9,
71,GoR_2,27,4,2,23.0,14.33,20.0,0,0.51,qej3iete,
72,GoR_2,27,5,1,18.0,13.33,18.0,1,1.51,0ywn59c9,
73,GoR_2,27,5,2,22.0,13.33,18.0,0,0.51,qej3iete,
74,GoR_2,27,6,1,16.0,12.33,16.0,1,1.51,0ywn59c9,
75,GoR_2,27,6,2,21.0,12.33,16.0,0,0.51,qej3iete,
76,GoR_2,27,7,1,14.0,12.33,14.0,1,1.51,0ywn59c9,
77,GoR_2,27,7,2,23.0,12.33,14.0,0,0.51,qej3iete,
78,GoR_2,27,8,1,13.0,8.67,13.0,1,1.51,0ywn59c9,"I wanted to be lower than what I thought player two would pick, and slowly decreased my guess as they decreased their guess."
79,GoR_2,27,8,2,13.0,8.67,13.0,1,0.51,qej3iete,I noticed number started to go down so I kept on selecting smaller number than my previous number. 
80,GoR_2,57,1,1,20.0,40.0,20.0,1,1.38,287alwgi,
81,GoR_2,57,1,2,100.0,40.0,20.0,0,0.63,tnr0yhba,
82,GoR_2,57,2,1,20.0,20.0,20.0,1,1.38,287alwgi,
83,GoR_2,57,2,2,40.0,20.0,20.0,0,0.63,tnr0yhba,
84,GoR_2,57,3,1,10.0,29.33,10.0,1,1.38,287alwgi,
85,GoR_2,57,3,2,78.0,29.33,10.0,0,0.63,tnr0yhba,
86,GoR_2,57,4,1,25.0,11.67,10.0,0,1.38,287alwgi,
87,GoR_2,57,4,2,10.0,11.67,10.0,1,0.63,tnr0yhba,
88,GoR_2,57,5,1,7.0,5.67,7.0,1,1.38,287alwgi,
89,GoR_2,57,5,2,10.0,5.67,7.0,0,0.63,tnr0yhba,
90,GoR_2,57,6,1,4.0,6.33,4.0,1,1.38,287alwgi,
91,GoR_2,57,6,2,15.0,6.33,4.0,0,0.63,tnr0yhba,
92,GoR_2,57,7,1,2.0,0.67,0.0,0,1.38,287alwgi,
93,GoR_2,57,7,2,0.0,0.67,0.0,1,0.63,tnr0yhba,
94,GoR_2,57,8,1,0.0,0.0,0.0,1,1.38,287alwgi,go low
95,GoR_2,57,8,2,0.0,0.0,0.0,1,0.63,tnr0yhba,At first I select the highest values after loosing the game I understood that the lower value are winning.so I followed this strategy.Thank you
96,GoR_2,68,1,1,35.0,36.67,35.0,1,1.25,h9o3m85b,
97,GoR_2,68,1,2,75.0,36.67,35.0,0,0.75,quenb223,
98,GoR_2,68,2,1,27.0,25.67,27.0,1,1.25,h9o3m85b,
99,GoR_2,68,2,2,50.0,25.67,27.0,0,0.75,quenb223,
100,GoR_2,68,3,1,64.0,34.67,40.0,0,1.25,h9o3m85b,
101,GoR_2,68,3,2,40.0,34.67,40.0,1,0.75,quenb223,
102,GoR_2,68,4,1,48.0,37.67,48.0,1,1.25,h9o3m85b,
103,GoR_2,68,4,2,65.0,37.67,48.0,0,0.75,quenb223,
104,GoR_2,68,5,1,82.0,45.67,55.0,0,1.25,h9o3m85b,
105,GoR_2,68,5,2,55.0,45.67,55.0,1,0.75,quenb223,
106,GoR_2,68,6,1,75.0,40.0,45.0,0,1.25,h9o3m85b,
107,GoR_2,68,6,2,45.0,40.0,45.0,1,0.75,quenb223,
108,GoR_2,68,7,1,34.0,25.0,34.0,1,1.25,h9o3m85b,
109,GoR_2,68,7,2,41.0,25.0,34.0,0,0.75,quenb223,
110,GoR_2,68,8,1,45.0,35.33,45.0,1,1.25,h9o3m85b,"After a while it seemed like the numbers were lower and toward the mid range, so I went with those numbers."
111,GoR_2,68,8,2,61.0,35.33,45.0,0,0.75,quenb223,just guessed
112,GoR_2,69,1,1,48.0,30.33,43.0,0,1.0,hlv8yv8m,
113,GoR_2,69,1,2,43.0,30.33,43.0,1,1.0,oz2x1ax4,
114,GoR_2,69,2,1,71.0,43.0,58.0,0,1.0,hlv8yv8m,
115,GoR_2,69,2,2,58.0,43.0,58.0,1,1.0,oz2x1ax4,
116,GoR_2,69,3,1,58.0,32.33,39.0,0,1.0,hlv8yv8m,
117,GoR_2,69,3,2,39.0,32.33,39.0,1,1.0,oz2x1ax4,
118,GoR_2,69,4,1,27.0,29.33,27.0,1,1.0,hlv8yv8m,
119,GoR_2,69,4,2,61.0,29.33,27.0,0,1.0,oz2x1ax4,
120,GoR_2,69,5,1,19.0,16.67,19.0,1,1.0,hlv8yv8m,
121,GoR_2,69,5,2,31.0,16.67,19.0,0,1.0,oz2x1ax4,
122,GoR_2,69,6,1,24.0,16.33,24.0,1,1.0,hlv8yv8m,
123,GoR_2,69,6,2,25.0,16.33,24.0,0,1.0,oz2x1ax4,
124,GoR_2,69,7,1,15.0,11.0,15.0,1,1.0,hlv8yv8m,
125,GoR_2,69,7,2,18.0,11.0,15.0,0,1.0,oz2x1ax4,
126,GoR_2,69,8,1,25.0,11.67,10.0,0,1.0,hlv8yv8m,At first I thought it was to keep selecting lower numbers; but then I changed my mind; should have stuck with my original plan!
127,GoR_2,69,8,2,10.0,11.67,10.0,1,1.0,oz2x1ax4,"Just starting off guessing high and once I seen the numbers lower, I lowered my numbers. "
128,GoR_2,74,1,1,50.0,39.67,50.0,1,0.88,p5i2iji2,
129,GoR_2,74,1,2,69.0,39.67,50.0,0,1.13,h7baevuf,
130,GoR_2,74,2,1,50.0,31.33,44.0,0,0.88,p5i2iji2,
131,GoR_2,74,2,2,44.0,31.33,44.0,1,1.13,h7baevuf,
132,GoR_2,74,3,1,55.0,35.67,52.0,0,0.88,p5i2iji2,
133,GoR_2,74,3,2,52.0,35.67,52.0,1,1.13,h7baevuf,
134,GoR_2,74,4,1,55.0,36.67,55.0,1,0.88,p5i2iji2,
135,GoR_2,74,4,2,55.0,36.67,55.0,1,1.13,h7baevuf,
136,GoR_2,74,5,1,55.0,35.67,52.0,0,0.88,p5i2iji2,
137,GoR_2,74,5,2,52.0,35.67,52.0,1,1.13,h7baevuf,
138,GoR_2,74,6,1,45.0,32.33,45.0,1,0.88,p5i2iji2,
139,GoR_2,74,6,2,52.0,32.33,45.0,0,1.13,h7baevuf,
140,GoR_2,74,7,1,47.0,32.0,47.0,1,0.88,p5i2iji2,
141,GoR_2,74,7,2,49.0,32.0,47.0,0,1.13,h7baevuf,
142,GoR_2,74,8,1,45.0,29.67,44.0,0,0.88,p5i2iji2,started at 50 and adjusted slightly according to average each time
143,GoR_2,74,8,2,44.0,29.67,44.0,1,1.13,h7baevuf,Stay somewhere in the middle of the range for the most part. 
144,GoR_2,94,1,1,33.0,40.33,33.0,1,1.5,7s3gy983,
145,GoR_2,94,1,2,88.0,40.33,33.0,0,0.5,fnikm1r7,
146,GoR_2,94,2,1,46.0,33.0,46.0,1,1.5,7s3gy983,
147,GoR_2,94,2,2,53.0,33.0,46.0,0,0.5,fnikm1r7,
148,GoR_2,94,3,1,42.0,39.67,42.0,1,1.5,7s3gy983,
149,GoR_2,94,3,2,77.0,39.67,42.0,0,0.5,fnikm1r7,
150,GoR_2,94,4,1,37.0,23.33,33.0,0,1.5,7s3gy983,
151,GoR_2,94,4,2,33.0,23.33,33.0,1,0.5,fnikm1r7,
152,GoR_2,94,5,1,38.0,20.0,22.0,0,1.5,7s3gy983,
153,GoR_2,94,5,2,22.0,20.0,22.0,1,0.5,fnikm1r7,
154,GoR_2,94,6,1,21.0,14.67,21.0,1,1.5,7s3gy983,
155,GoR_2,94,6,2,23.0,14.67,21.0,0,0.5,fnikm1r7,
156,GoR_2,94,7,1,20.0,14.0,20.0,1,1.5,7s3gy983,
157,GoR_2,94,7,2,22.0,14.0,20.0,0,0.5,fnikm1r7,
158,GoR_2,94,8,1,16.0,13.67,16.0,1,1.5,7s3gy983,"I went down and looked at previous results, I played based on the trends of the results to make my estimations. "
159,GoR_2,94,8,2,25.0,13.67,16.0,0,0.5,fnikm1r7,try to win
160,GoR_2,95,1,1,42.0,17.0,9.0,0,1.5,l66w9mzj,
161,GoR_2,95,1,2,9.0,17.0,9.0,1,0.5,m1hjja46,
162,GoR_2,95,2,1,11.0,17.67,11.0,1,1.5,l66w9mzj,
163,GoR_2,95,2,2,42.0,17.67,11.0,0,0.5,m1hjja46,
164,GoR_2,95,3,1,14.0,8.67,12.0,0,1.5,l66w9mzj,
165,GoR_2,95,3,2,12.0,8.67,12.0,1,0.5,m1hjja46,
166,GoR_2,95,4,1,11.0,8.67,11.0,1,1.5,l66w9mzj,
167,GoR_2,95,4,2,15.0,8.67,11.0,0,0.5,m1hjja46,
168,GoR_2,95,5,1,10.0,8.67,10.0,1,1.5,l66w9mzj,
169,GoR_2,95,5,2,16.0,8.67,10.0,0,0.5,m1hjja46,
170,GoR_2,95,6,1,10.0,7.0,10.0,1,1.5,l66w9mzj,
171,GoR_2,95,6,2,11.0,7.0,10.0,0,0.5,m1hjja46,
172,GoR_2,95,7,1,8.0,6.67,8.0,1,1.5,l66w9mzj,
173,GoR_2,95,7,2,12.0,6.67,8.0,0,0.5,m1hjja46,
174,GoR_2,95,8,1,8.0,6.0,8.0,1,1.5,l66w9mzj,I used the last numbers from previous rounds to make my guess for the next round
175,GoR_2,95,8,2,10.0,6.0,8.0,0,0.5,m1hjja46,Intelligence 
176,GoR_2,98,1,1,73.0,44.33,60.0,0,1.13,xeuy0v8z,
177,GoR_2,98,1,2,60.0,44.33,60.0,1,0.88,pho2z56m,
178,GoR_2,98,2,1,73.0,41.0,50.0,0,1.13,xeuy0v8z,
179,GoR_2,98,2,2,50.0,41.0,50.0,1,0.88,pho2z56m,
180,GoR_2,98,3,1,36.0,28.67,36.0,1,1.13,xeuy0v8z,
181,GoR_2,98,3,2,50.0,28.67,36.0,0,0.88,pho2z56m,
182,GoR_2,98,4,1,48.0,34.33,48.0,1,1.13,xeuy0v8z,
183,GoR_2,98,4,2,55.0,34.33,48.0,0,0.88,pho2z56m,
184,GoR_2,98,5,1,52.0,34.0,50.0,0,1.13,xeuy0v8z,
185,GoR_2,98,5,2,50.0,34.0,50.0,1,0.88,pho2z56m,
186,GoR_2,98,6,1,26.0,28.67,26.0,1,1.13,xeuy0v8z,
187,GoR_2,98,6,2,60.0,28.67,26.0,0,0.88,pho2z56m,
188,GoR_2,98,7,1,33.0,32.67,33.0,1,1.13,xeuy0v8z,
189,GoR_2,98,7,2,65.0,32.67,33.0,0,0.88,pho2z56m,
190,GoR_2,98,8,1,50.0,33.33,50.0,1,1.13,xeuy0v8z,After I noticed that the 2/3 was always less than 60 I tried to keep my guess lower than my opponents previous guess.
191,GoR_2,98,8,2,50.0,33.33,50.0,1,0.88,pho2z56m,i tried to be as close as to the other players numbers 
192,GoR_2,100,1,1,70.0,35.0,35.0,0,1.25,ymdjtw45,
193,GoR_2,100,1,2,35.0,35.0,35.0,1,0.75,cghnt3sj,
194,GoR_2,100,2,1,30.0,28.33,30.0,1,1.25,ymdjtw45,
195,GoR_2,100,2,2,55.0,28.33,30.0,0,0.75,cghnt3sj,
196,GoR_2,100,3,1,30.0,25.0,30.0,1,1.25,ymdjtw45,
197,GoR_2,100,3,2,45.0,25.0,30.0,0,0.75,cghnt3sj,
198,GoR_2,100,4,1,32.0,20.67,30.0,0,1.25,ymdjtw45,
199,GoR_2,100,4,2,30.0,20.67,30.0,1,0.75,cghnt3sj,
200,GoR_2,100,5,1,28.0,19.33,28.0,1,1.25,ymdjtw45,
201,GoR_2,100,5,2,30.0,19.33,28.0,0,0.75,cghnt3sj,
202,GoR_2,100,6,1,25.0,18.33,25.0,1,1.25,ymdjtw45,
203,GoR_2,100,6,2,30.0,18.33,25.0,0,0.75,cghnt3sj,
204,GoR_2,100,7,1,26.0,17.67,26.0,1,1.25,ymdjtw45,
205,GoR_2,100,7,2,27.0,17.67,26.0,0,0.75,cghnt3sj,
206,GoR_2,100,8,1,22.0,13.67,19.0,0,1.25,ymdjtw45,"I had no clue the first round, but then I saw that the number would have to be high 20s or low 30s."
207,GoR_2,100,8,2,19.0,13.67,19.0,1,0.75,cghnt3sj,I looked at what player two had been chosing for numbers and tried to make my guess based on that.
208,GoR_2,103,1,1,57.0,37.33,55.0,0,1.13,ceiw0s35,
209,GoR_2,103,1,2,55.0,37.33,55.0,1,0.88,2hq0fzi9,
210,GoR_2,103,2,1,35.0,29.33,35.0,1,1.13,ceiw0s35,
211,GoR_2,103,2,2,53.0,29.33,35.0,0,0.88,2hq0fzi9,
212,GoR_2,103,3,1,25.0,16.67,25.0,1,1.13,ceiw0s35,
213,GoR_2,103,3,2,25.0,16.67,25.0,1,0.88,2hq0fzi9,
214,GoR_2,103,4,1,75.0,35.0,30.0,0,1.13,ceiw0s35,
215,GoR_2,103,4,2,30.0,35.0,30.0,1,0.88,2hq0fzi9,
216,GoR_2,103,5,1,42.0,23.33,28.0,0,1.13,ceiw0s35,
217,GoR_2,103,5,2,28.0,23.33,28.0,1,0.88,2hq0fzi9,
218,GoR_2,103,6,1,29.0,28.67,29.0,1,1.13,ceiw0s35,
219,GoR_2,103,6,2,57.0,28.67,29.0,0,0.88,2hq0fzi9,
220,GoR_2,103,7,1,26.0,17.67,26.0,1,1.13,ceiw0s35,
221,GoR_2,103,7,2,27.0,17.67,26.0,0,0.88,2hq0fzi9,
222,GoR_2,103,8,1,33.0,22.67,33.0,1,1.13,ceiw0s35,I just guessed.
223,GoR_2,103,8,2,35.0,22.67,33.0,0,0.88,2hq0fzi9,4
224,GoR_2,122,1,1,72.0,40.67,50.0,0,0.63,eb7re6hc,
225,GoR_2,122,1,2,50.0,40.67,50.0,1,1.38,c3ga12y8,
226,GoR_2,122,2,1,25.0,16.67,25.0,1,0.63,eb7re6hc,
227,GoR_2,122,2,2,25.0,16.67,25.0,1,1.38,c3ga12y8,
228,GoR_2,122,3,1,60.0,36.67,50.0,0,0.63,eb7re6hc,
229,GoR_2,122,3,2,50.0,36.67,50.0,1,1.38,c3ga12y8,
230,GoR_2,122,4,1,57.0,30.0,33.0,0,0.63,eb7re6hc,
231,GoR_2,122,4,2,33.0,30.0,33.0,1,1.38,c3ga12y8,
232,GoR_2,122,5,1,35.0,28.33,35.0,1,0.63,eb7re6hc,
233,GoR_2,122,5,2,50.0,28.33,35.0,0,1.38,c3ga12y8,
234,GoR_2,122,6,1,62.0,27.33,20.0,0,0.63,eb7re6hc,
235,GoR_2,122,6,2,20.0,27.33,20.0,1,1.38,c3ga12y8,
236,GoR_2,122,7,1,30.0,15.0,15.0,0,0.63,eb7re6hc,
237,GoR_2,122,7,2,15.0,15.0,15.0,1,1.38,c3ga12y8,
238,GoR_2,122,8,1,27.0,18.33,27.0,1,0.63,eb7re6hc,i just guessed random numbers.
239,GoR_2,122,8,2,28.0,18.33,27.0,0,1.38,c3ga12y8,I didn't have a strategy. 
240,GoR_2,127,1,1,32.0,26.33,32.0,1,1.01,2ej91guw,
241,GoR_2,127,1,2,47.0,26.33,32.0,0,1.01,hu208ccl,
242,GoR_2,127,2,1,38.0,31.67,38.0,1,1.01,2ej91guw,
243,GoR_2,127,2,2,57.0,31.67,38.0,0,1.01,hu208ccl,
244,GoR_2,127,3,1,30.0,20.0,30.0,1,1.01,2ej91guw,
245,GoR_2,127,3,2,30.0,20.0,30.0,1,1.01,hu208ccl,
246,GoR_2,127,4,1,28.0,18.33,27.0,0,1.01,2ej91guw,
247,GoR_2,127,4,2,27.0,18.33,27.0,1,1.01,hu208ccl,
248,GoR_2,127,5,1,24.0,16.33,24.0,1,1.01,2ej91guw,
249,GoR_2,127,5,2,25.0,16.33,24.0,0,1.01,hu208ccl,
250,GoR_2,127,6,1,22.0,12.0,14.0,0,1.01,2ej91guw,
251,GoR_2,127,6,2,14.0,12.0,14.0,1,1.01,hu208ccl,
252,GoR_2,127,7,1,20.0,10.0,10.0,0,1.01,2ej91guw,
253,GoR_2,127,7,2,10.0,10.0,10.0,1,1.01,hu208ccl,
254,GoR_2,127,8,1,8.0,5.33,8.0,1,1.01,2ej91guw,Followed my instinct until i noticed a declining pattern.
255,GoR_2,127,8,2,8.0,5.33,8.0,1,1.01,hu208ccl,I started at about half. then I saw that they were dropping down down so I picked lower number each time. Then I tried to go down by 2s.
256,GoR_2,134,1,1,40.0,28.33,40.0,1,0.88,7b0o0kgc,
257,GoR_2,134,1,2,45.0,28.33,40.0,0,1.13,dvtlpjcl,
258,GoR_2,134,2,1,52.0,34.0,50.0,0,0.88,7b0o0kgc,
259,GoR_2,134,2,2,50.0,34.0,50.0,1,1.13,dvtlpjcl,
260,GoR_2,134,3,1,24.0,14.67,20.0,0,0.88,7b0o0kgc,
261,GoR_2,134,3,2,20.0,14.67,20.0,1,1.13,dvtlpjcl,
262,GoR_2,134,4,1,70.0,47.33,70.0,1,0.88,7b0o0kgc,
263,GoR_2,134,4,2,72.0,47.33,70.0,0,1.13,dvtlpjcl,
264,GoR_2,134,5,1,35.0,30.67,35.0,1,0.88,7b0o0kgc,
265,GoR_2,134,5,2,57.0,30.67,35.0,0,1.13,dvtlpjcl,
266,GoR_2,134,6,1,34.0,20.33,27.0,0,0.88,7b0o0kgc,
267,GoR_2,134,6,2,27.0,20.33,27.0,1,1.13,dvtlpjcl,
268,GoR_2,134,7,1,42.0,28.0,42.0,1,0.88,7b0o0kgc,
269,GoR_2,134,7,2,42.0,28.0,42.0,1,1.13,dvtlpjcl,
270,GoR_2,134,8,1,42.0,22.33,25.0,0,0.88,7b0o0kgc,45
271,GoR_2,134,8,2,25.0,22.33,25.0,1,1.13,dvtlpjcl,2
272,GoR_2,137,1,1,69.0,46.33,69.0,1,1.75,lab7r629,
273,GoR_2,137,1,2,70.0,46.33,69.0,0,0.25,svn4mqng,
274,GoR_2,137,2,1,47.0,33.67,47.0,1,1.75,lab7r629,
275,GoR_2,137,2,2,54.0,33.67,47.0,0,0.25,svn4mqng,
276,GoR_2,137,3,1,29.0,22.33,29.0,1,1.75,lab7r629,
277,GoR_2,137,3,2,38.0,22.33,29.0,0,0.25,svn4mqng,
278,GoR_2,137,4,1,63.0,51.0,63.0,1,1.75,lab7r629,
279,GoR_2,137,4,2,90.0,51.0,63.0,0,0.25,svn4mqng,
280,GoR_2,137,5,1,51.0,50.0,51.0,1,1.75,lab7r629,
281,GoR_2,137,5,2,99.0,50.0,51.0,0,0.25,svn4mqng,
282,GoR_2,137,6,1,59.0,43.0,59.0,1,1.75,lab7r629,
283,GoR_2,137,6,2,70.0,43.0,59.0,0,0.25,svn4mqng,
284,GoR_2,137,7,1,48.0,49.0,48.0,1,1.75,lab7r629,
285,GoR_2,137,7,2,99.0,49.0,48.0,0,0.25,svn4mqng,
286,GoR_2,137,8,1,58.0,34.33,45.0,0,1.75,lab7r629,Tried to pick the numbers that I thought would win.  Mostly luck.
287,GoR_2,137,8,2,45.0,34.33,45.0,1,0.25,svn4mqng,"It took me a few rounds to figure out what was going on and then a few more to try and sway the average away from others. But still, it didn't work too well for me until the end. "
288,GoR_2,139,1,1,44.0,29.67,44.0,1,1.5,n6figodt,
289,GoR_2,139,1,2,45.0,29.67,44.0,0,0.5,0v7rtj1h,
290,GoR_2,139,2,1,32.0,36.67,32.0,1,1.5,n6figodt,
291,GoR_2,139,2,2,78.0,36.67,32.0,0,0.5,0v7rtj1h,
292,GoR_2,139,3,1,62.0,32.67,36.0,0,1.5,n6figodt,
293,GoR_2,139,3,2,36.0,32.67,36.0,1,0.5,0v7rtj1h,
294,GoR_2,139,4,1,49.0,23.33,21.0,0,1.5,n6figodt,
295,GoR_2,139,4,2,21.0,23.33,21.0,1,0.5,0v7rtj1h,
296,GoR_2,139,5,1,35.0,37.0,35.0,1,1.5,n6figodt,
297,GoR_2,139,5,2,76.0,37.0,35.0,0,0.5,0v7rtj1h,
298,GoR_2,139,6,1,42.0,43.67,42.0,1,1.5,n6figodt,
299,GoR_2,139,6,2,89.0,43.67,42.0,0,0.5,0v7rtj1h,
300,GoR_2,139,7,1,56.0,40.0,56.0,1,1.5,n6figodt,
301,GoR_2,139,7,2,64.0,40.0,56.0,0,0.5,0v7rtj1h,
302,GoR_2,139,8,1,45.0,32.0,45.0,1,1.5,n6figodt,Random guess based on what person chose in previous round
303,GoR_2,139,8,2,51.0,32.0,45.0,0,0.5,0v7rtj1h,"I just chose random numbers, there wasn't much of a strategy."
304,GoR_2,147,1,1,54.0,27.0,27.0,0,0.88,kube50hz,
305,GoR_2,147,1,2,27.0,27.0,27.0,1,1.13,td94zv01,
306,GoR_2,147,2,1,35.0,26.67,35.0,1,0.88,kube50hz,
307,GoR_2,147,2,2,45.0,26.67,35.0,0,1.13,td94zv01,
308,GoR_2,147,3,1,30.0,22.0,30.0,1,0.88,kube50hz,
309,GoR_2,147,3,2,36.0,22.0,30.0,0,1.13,td94zv01,
310,GoR_2,147,4,1,25.0,16.67,25.0,1,0.88,kube50hz,
311,GoR_2,147,4,2,25.0,16.67,25.0,1,1.13,td94zv01,
312,GoR_2,147,5,1,26.0,14.33,17.0,0,0.88,kube50hz,
313,GoR_2,147,5,2,17.0,14.33,17.0,1,1.13,td94zv01,
314,GoR_2,147,6,1,25.0,12.33,12.0,0,0.88,kube50hz,
315,GoR_2,147,6,2,12.0,12.33,12.0,1,1.13,td94zv01,
316,GoR_2,147,7,1,36.0,17.33,16.0,0,0.88,kube50hz,
317,GoR_2,147,7,2,16.0,17.33,16.0,1,1.13,td94zv01,
318,GoR_2,147,8,1,15.0,12.0,15.0,1,0.88,kube50hz,Go lower after awhile. But none at first
319,GoR_2,147,8,2,21.0,12.0,15.0,0,1.13,td94zv01,2/3 Average was in descending order.
320,GoR_2,150,1,1,75.0,38.33,40.0,0,0.76,qw6y61ri,
321,GoR_2,150,1,2,40.0,38.33,40.0,1,1.26,efcfgy63,
