guess,session
22.2,9
19,9
4,9
0,9
15,9
20,9
22,9
23.4,9
21.5,9
20.5,9
35.8,9
6.4,9
33,9
33,9
17,9
45,9
0,9
0,9
66.6,9
22,9
16,9
32.6,9
37,9
35,9
33.3,9
33,9
22.2,9
40.02,9
33.3,9
21.9,9
15,9
37,9
22,9
4.1,9
15,9
25,9
12.5,9
0,9
22.2,9
10.5,9
31.94,9
33,9
67,9
21.12,9
35,9
17.5,9
50,9
66,9
27.3,9
52.5,9
33,9
22.2,9
11.66,9
11,9
25,9
33,9
12,9
22,9
7,9
66.6,9
0,9
30,9
33,9
33.3,9
,
0,10
5,10
12.735149,10
39.2,10
24,10
10,10
13.001,10
21,10
16.7,10
2.459459459,10
0.12341,10
0.8671,10
3.5,10
27.7,10
7.123,10
9.9,10
5.472,10
5,10
7,10
13,10
0.286,10
43.8,10
0.666666667,10
6.7,10
3,10
5.7,10
10.4,10
24,10
4.33,10
2,10
100,10
100,10
100,10
14.01,10
19,10
37,10
29,10
1.001,10
0,10
14.814,10
33.66,10
5.1,10
0.22,10
27.6,10
0.02,10
7.6,10
55,10
2.531,10
4.2753004,10
22.44,10
1.241,10
50.5,10
3.1604,10
5.837,10
,
,
0,11
40,11
7,11
7,11
3,11
0,11
0.1,11
0,11
49,11
1,11
5.14,11
100,11
3,11
6,11
40,11
2.5,11
23,11
22,11
61,11
0,11
20,11
7,11
16,11
12.1,11
8,11
7,11
35,11
,
0,12
0,12
0,12
0,12
0,12
0,12
75,12
14,12
0.1,12
22,12
15,12
50,12
0,12
22,12
16.6666667,12
20,12
50,12
16,12
20,12
0,12
32,12
24,12
33,12
50,12
66.666667,12
7,12
5,12
0.2,12
33,12
35,12
35,12
3.3,12
,
18,13
44,13
15,13
10,13
22,13
44,13
33,13
0.05,13
1,13
5,13
0.222222222,13
7,13
0,13
50,13
0,13
22,13
0,13
0,13
19.01,13
42.17,13
6,13
11,13
0,13
33,13
0,13
2,13
0.7,13
1.646258503,13
25,13
0,13
12,13
1,13
0,13
,
100,14
100,14
100,14
84,14
78,14
68,14
67,14
67,14
56,14
53,14
51,14
48,14
47,14
45,14
44,14
44,14
44,14
44,14
43,14
42,14
38,14
38,14
38,14
37,14
37,14
34,14
33,14
33,14
33,14
33,14
33,14
33,14
33,14
33,14
33,14
33,14
33,14
33,14
33,14
33,14
32,14
32,14
32,14
32,14
31,14
30,14
30,14
29,14
29,14
28,14
28,14
28,14
27,14
26,14
26,14
26,14
26,14
25,14
25,14
24,14
24,14
24,14
23,14
23,14
22,14
22,14
22,14
22,14
22,14
22,14
22,14
22,14
21,14
21,14
21,14
21,14
19,14
19,14
18,14
18,14
18,14
18,14
17,14
17,14
17,14
17,14
16,14
16,14
15,14
15,14
15,14
15,14
15,14
15,14
13,14
13,14
12,14
12,14
12,14
12,14
11,14
11,14
11,14
10,14
10,14
10,14
8,14
7,14
7,14
4,14
3,14
3,14
3,14
3,14
2,14
2,14
1,14
1,14
1,14
1,14
1,14
1,14
8,14
1,14
1,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
,
21,15
17,15
13,15
20.08,15
13.486,15
0,15
74,15
13.889,15
0.053497942,15
4.32,15
0,15
14.426,15
6.65,15
24.67,15
37.33,15
22.222,15
12.22,15
14,15
0.07612,15
9.777777778,15
52,15
0.123456789,15
9.23,15
2,15
37.27,15
41.10711699,15
76.53,15
2.22,15
19,15
9.71956,15
12.7,15
5.346578,15
37,15
0.653594771,15
11.14,15
33.33,15
2.5,15
1.475132,15
0.925926,15
3.54823,15
12.49,15
17.12345,15
35,15
25.5,15
12.3,15
55,15
16.661,15
8.321,15
10.34,15
3.2076,15
33.75,15
22,15
20.83333333,15
60,15
42,15
28.25,15
9.87654321,15
6.92820323,15
0.01,15
0.000042,15
3.35,15
9.27,15
14.49,15
30,15
11.2,15
22,15
7.07,15
5.01,15
14.7584,15
14.8,15
22.22,15
2.17845,15
11.714,15
21.627,15
22.2,15
0.11,15
11.11,15
8.934831386,15
12.7,15
23.4,15
44.4,15
14.81,15
28.7,15
2.71827,15
29.61996,15
33.333333,15
2.463,15
25.36381488,15
21.983,15
0,15
100,15
100,15
100,15
100,15
100,15
5.5363931,15
100,15
15.91549,15
1.12,15
10.299,15
0.74,15
3.13159,15
100,15
13.4017,15
30,15
0,15
4.666,15
1.4142136,15
29,15
20.123,15
12.887,15
21.4,15
8.765,15
34.4,15
20,15
11.5,15
0.5,15
7.1113,15
0,15
0,15
0,15
17.37,15
36.3,15
9,15
0.0011,15
69,15
2.1,15
51.253,15
3.14159,15
10.12345679,15
4.275,15
1.1232,15
16.3,15
24.5,15
10.666,15
8.53973422,15
0,15
7,15
76.76767676,15
0.367,15
17.2,15
1.876235764,15
66,15
70,15
33.3,15
100,15
42,15
0,15
14.5,15
22.67555,15
3.46826,15
73,15
10.6,15
83.7591,15
22.78,15
37.271,15
33.2,15
27.8,15
97.232323,15
2.71828,15
54.6,15
0,15
16.5894751,15
0.46,15
11.8,15
36.78792223,15
7.225663,15
10.73,15
27.5,15
7.043242527,15
22,15
100,15
43.36,15
4.83162,15
12.12,15
30.2,15
31.1,15
6,15
0.699,15
0.0365,15
5.7452,15
20.01,15
17.73419468,15
0.416,15
0.67,15
0,15
1.8736,15
57.1428,15
33,15
40.5,15
14.8,15
2.3587,15
63.51,15
41.89,15
0,15
2.8,15
2.736166621,15
47,15
13.66378,15
25,15
11.2357,15
0,15
54.75,15
25,15
85,15
22.222,15
57.21,15
8.62,15
1.9352915,15
0,15
11.09,15
3.6579,15
77.350289,15
1,15
79,15
67,15
0,15
2.46914,15
1,15
84,15
64,15
88.435,15
22.87,15
4.242,15
41,15
17.24926,15
12.2,15
0.324,15
0.368479,15
0.7,15
4.193,15
100,15
2,15
9.8743,15
2.75403287,15
24.3,15
10,15
15.1173,15
22.222222,15
7.407407,15
5.8800012,15
7.7,15
17.4197,15
1.8357,15
7.777,15
0.001,15
0,15
2.0943951,15
26.67,15
10,15
0.054711,15
25,15
32.14159265,15
7,15
8.91,15
87,15
34,15
45.4,15
66,15
10.4655,15
0.81324555,15
29,15
50,15
0.22,15
11.75,15
25.05,15
17.4,15
42.18,15
54,15
1.111,15
65,15
28,15
26.31498724,15
13.251,15
19.61,15
33,15
11,15
12.3456,15
28,15
27.7777777,15
19.9,15
5.89,15
14.68,15
5.3,15
3.14159,15
33.3,15
6.53333333,15
3.14159,15
1.11,15
26.309,15
1.645,15
100,15
22.222,15
6.6502,15
12.345,15
23.4,15
20,15
0.6,15
33.33,15
4.279,15
3.09,15
4.63,15
66.67,15
11.111,15
0,15
8.82,15
22.222,15
51,15
0,15
56,15
64,15
63.9,15
16.8,15
0.15694995,15
66.666,15
21.333,15
41,15
14.075,15
0.3,15
0,15
25.74,15
33.333,15
75,15
15,15
23,15
2.14846,15
32.86745932,15
50,15
22.7,15
100,15
4.3759,15
47,15
5.47,15
2.71,15
17.532187,15
32,15
29.9,15
9.36,15
11.3,15
22.44,15
8,15
12.1111,15
33.333,15
22.14159,15
29.8809,15
22.43,15
3.7,15
0.075,15
17,15
0.667,15
27.777,15
21,15
10,15
11,15
18.611,15
31.317,15
1.78396,15
2.222,15
100,15
12.34,15
10,15
43.5,15
17,15
0,15
3.14159,15
17,15
0,15
22.02,15
7.633,15
43.7,15
9.874613976,15
50.5555555,15
9.8696,15
9.8696,15
28,15
2.08695,15
22.22,15
3.14159,15
6.78,15
22.222,15
23.33,15
3.1415926,15
96.265,15
25.765207,15
24.79454645,15
2.1626889,15
3.012556,15
3.894,15
33.333,15
7,15
7.623,15
27.45,15
17.6,15
0.77,15
33.33333333,15
14.561,15
0.123456789,15
17,15
24.75,15
18.0848,15
23.14814815,15
28.52,15
1.45,15
14.37,15
22,15
0.4321,15
16.3,15
0.160389236,15
21.427,15
23.55,15
16.6,15
21.332,15
66.66,15
29,15
2.87,15
24.999999,15
3.14159,15
9,15
1,15
0.005,15
22,15
17.31505,15
66.6,15
0.97,15
21.75,15
72.2,15
100,15
13.2,15
53,15
17,15
1.812187886,15
3.845237853,15
1,15
7.26587,15
13.481,15
33,15
28,15
16.97,15
16,15
17.38,15
25,15
32,15
7,15
13,15
45,15
0.061111,15
33,15
27.3,15
0,15
32.8704,15
12,15
9.452045893,15
66,15
20.0815,15
32.111,15
15.6,15
18,15
17.34,15
33.42,15
0,15
8.52728,15
0,15
9.6666,15
41.2,15
0,15
0,15
19,15
37.5,15
23.56,15
24.346,15
34.216,15
36.95,15
25,15
100,15
20,15
4.8572,15
0.888,15
13.7,15
21.4,15
52,15
1.07868,15
28.8,15
34.9,15
0.87573457,15
1.2,15
13,15
3.14159,15
23.54,15
91,15
74,15
1,15
33,15
2.3,15
23,15
45.27074,15
36,15
25,15
81,15
36.3,15
33.11361,15
16.37,15
43,15
10,15
32,15
22.222,15
44.1234,15
33.185,15
26.002,15
3.52,15
0,15
11.11111,15
22.2,15
14.66,15
13.74,15
3.247558997,15
2.22222222,15
30.03,15
23.1407,15
29.8107,15
0,15
0,15
0,15
0.6666,15
32,15
0.025,15
2.721,15
9.865881,15
17.23092608,15
1.43079,15
18.00001001,15
5.48,15
7.407407407,15
33.3333,15
23.222,15
38,15
11.11111,15
12.1968,15
1.6666666,15
7.07,15
0.43095,15
9.51056,15
0.2569,15
0.11418,15
0.57805,15
0.38537,15
6.5844,15
4.7,15
0.741,15
1.18697,15
29.09,15
1.517,15
7.82675405,15
32.66,15
18.6,15
4.803,15
17,15
61.80339,15
0.02617,15
5.197937,15
0.28347621,15
2.75,15
7.75,15
17,15
19.02113,15
23.3992936,15
39.607818,15
35.1,15
0.573201,15
0.3210754,15
18.39,15
3.09,15
31.36,15
17.1,15
17.73,15
36,15
4.174,15
47.3,15
16.5,15
1.4863014,15
11.11,15
5.87,15
19.713333,15
23.015,15
11,15
19.79,15
11,15
4,15
16.666,15
25.252525,15
21.92,15
44,15
9.87654321,15
17.5499,15
33,15
1.5,15
3.9,15
22.5,15
18,15
16,15
14,15
17.4,15
5.276276,15
3,15
13.1,15
23,15
11.5,15
32,15
18,15
26,15
17,15
6.5,15
10.47,15
15.965,15
5.04,15
33.63,15
8.7,15
3.863,15
0.12244,15
9.002,15
18,15
26.136,15
18,15
7.228,15
13.77,15
15.612,15
21.37,15
34.74,15
33.39,15
22,15
16.583,15
17.11,15
22.45,15
15.257,15
22,15
17.6,15
24.3795,15
18.5,15
14.2764,15
26,15
28.459,15
19.481,15
4.38,15
14.3,15
10.5,15
15.125,15
20,15
16,15
20,15
66,15
6,15
6.57,15
47,15
18.2678,15
15.8941,15
21,15
14,15
11,15
23,15
14.666,15
13.678,15
13.333,15
37.333,15
25,15
13,15
87.49,15
1,15
44,15
16,15
7.3,15
10,15
31.006276,15
17.9,15
0.000001,15
14,15
2.7,15
13.333,15
3.025,15
10.488,15
15.297,15
4.761904762,15
6.8,15
8.2,15
7.4,15
13.66666667,15
42.4115,15
0.00390625,15
0.5,15
0.5,15
17.2,15
18.79,15
14.09,15
14,15
14.359,15
33.333333,15
9.1618,15
0.04321,15
10,15
5.53,15
66.666,15
0,15
37,15
7.14285,15
0.0734758,15
8.54673,15
23.25,15
18.65,15
26.8,15
37.25,15
78.1230987,15
17,15
38.756,15
0.000900766,15
50,15
39,15
8.539734,15
21.42,15
7.357,15
14.192425,15
33.333,15
26.133333,15
66.66666667,15
9.876543,15
0.175623,15
6.876,15
1,15
5.2,15
11.47,15
32.8,15
56.64,15
27.578,15
33.333,15
2.97864053,15
0.13333,15
34.6,15
1.26879333,15
7.622857,15
0.23,15
1.54556,15
14.129437,15
17.5,15
3.42,15
0,15
0.392651,15
25.4,15
2.578654,15
2.3,15
11.4679867,15
27.777778,15
16.22,15
33,15
6.28,15
0.011,15
6.83167545,15
8.2317,15
18.435,15
11.66,15
20,15
15.1542622,15
38.756,15
16.1,15
0,15
37,15
58,15
68,15
0.1,15
0.123456789,15
8.425,15
17,15
19.7,15
13.8,15
19.753,15
30.51,15
34.8,15
0.987047,15
0.15246,15
0.68359,15
9.9498744,15
24,15
8.52,15
8.71,15
12,15
0.6615,15
0.1,15
22.2,15
34,15
42.48,15
42.42,15
33.333,15
0,15
11.11,15
20.1,15
21,15
23.36,15
6.51,15
9.637,15
14.82,15
1.3,15
0.16666,15
18.52,15
19.87654321,15
0,15
8.4447,15
11.1111,15
0.618,15
49.73,15
0.8,15
11.437,15
1.634,15
13.13333,15
0.8143,15
17.5125,15
13.1,15
16.6,15
9.35,15
3.387,15
100,15
5.199,15
27,15
12.73,15
66.66667,15
0.987,15
0,15
27,15
22,15
1.29,15
24,15
78.313725,15
0.8575,15
7.1011,15
42.424242,15
23.1204,15
0.0645,15
22.222,15
0,15
0,15
0.00001,15
8.7791,15
17.8182,15
1.8,15
2.1479,15
1.6835,15
0.51278,15
0.023,15
5.3,15
3.14159,15
1.79,15
0.378,15
2.685,15
0.4,15
9.045,15
0.140419,15
6.5,15
2.6,15
4.76,15
0,15
15.43,15
34,15
30,15
16.666,15
1.27635,15
28.57143,15
2,15
0.000147,15
0,15
0.0006,15
0,15
0,15
1.1,15
0.2,15
0.111,15
0.7,15
100,15
11.11111111,15
0.9,15
14.814814,15
0.986,15
25,15
0.33,15
4.9,15
0.9,15
1.85,15
0.222,15
9.9,15
11.111,15
3.3113301,15
19.5,15
6.333,15
100,15
11.216843,15
6.66,15
12.5,15
11,15
18.25,15
7.836,15
39.2,15
22,15
9.87654321,15
4.5,15
6.5,15
7.4268,15
11.100966,15
22.010766,15
17.91,15
22,15
0.9511,15
0,15
14.461,15
13,15
16.7,15
6.9999,15
6.283185,15
19.6,15
14.972772,15
3.14159,15
0.00913146,15
0.748,15
0.0084,15
16.31456789,15
33.3334,15
14.814,15
3.41,15
73.725,15
42,15
10.99099,15
8,15
7.8888,15
6.8787,15
3.7888,15
3.5555,15
2.7,15
4.34,15
0.5,15
0,15
0.01,15
11.1111,15
9.424777,15
77.7,15
0.1,15
0.023,15
0,15
27,15
3.236068,15
10,15
21.6,15
2.8129,15
30,15
10.21659,15
5.013425,15
77.77,15
12,15
1,15
13,15
20,15
0.00865255,15
30.6,15
31.46,15
7,15
14.925925,15
6.15,15
0.3352,15
5.23,15
0.7310913,15
4.712948,15
27.7,15
3.001,15
27.85,15
22,15
7.14,15
0.333,15
24.4444,15
37.857,15
4.4,15
20.62323,15
0.6666,15
4.95,15
4.1143,15
22.2222,15
7.7366,15
15.82771,15
0.785398,15
3,15
100,15
1.8,15
11.11,15
22.22,15
22.22222,15
33.3333,15
0.85632,15
25,15
7,15
1.658686,15
7.495149,15
9.31961,15
22.2,15
23.4526,15
2.174527,15
12.4,15
17,15
18.573,15
4.39,15
1.70135,15
14.793,15
21.3,15
57.7,15
9.21,15
1.33333,15
0.09,15
10.34,15
14.814814,15
16.67,15
37,15
27.4262,15
0.5,15
28.272625,15
22,15
77,15
13,15
22.208687,15
7.173,15
73.37,15
1.235415,15
11.10871,15
8.14,15
9.87654321,15
15.92,15
1.15573,15
0.1002355,15
1.568458,15
1,15
14.8148,15
2.738263,15
21.0913224,15
7.238,15
9.353,15
3,15
17.22229,15
6.390352,15
11.111,15
0.3,15
27.3,15
23.42,15
3.14159,15
0.8,15
19.94,15
0.7071,15
7,15
31.7,15
15.88,15
0.296666,15
22.22222,15
24.3278,15
0.942,15
5.1112,15
8.66666,15
38.887,15
1,15
9.8765,15
0,15
8.3014,15
0,15
13.5,15
2.718,15
0.001131,15
7.878787,15
29,15
3.280092,15
16.6666,15
2.52,15
17,15
1.6,15
3.666,15
4.398229,15
3.1,15
5.73,15
10.94,15
33,15
26,15
27.777,15
19.55,15
5,15
35,15
0.123456789,15
46.761241,15
9.22345,15
5.250525,15
3.895642,15
3.3264,15
0.10101,15
1,15
18.9,15
100,15
1.5,15
15.768361,15
16.0688837,15
42,15
22.222,15
27,15
31.415927,15
5.39,15
5.196152,15
0,15
2.645751,15
19.999,15
0.0001,15
19.75,15
0.3128,15
29.63,15
1.16,15
24,15
27.216,15
77.5,15
0.762666,15
5.365,15
36.2,15
38.3,15
82,15
8.485,15
2.545334,15
5.345334,15
4.345334,15
1.345334,15
3.345334,15
9.345334,15
3.345334,15
0.345334,15
2.345334,15
3.346,15
2.54,15
0.732,15
22.3,15
2.5,15
12.2516,15
22,15
0.01,15
8.3333,15
42.354558,15
33.333,15
14.79,15
10.1,15
34.7,15
20.62,15
0,15
1.5276,15
0,15
10.11,15
9.876,15
12.66,15
1.207197,15
0.820023,15
28.334,15
8.7611387,15
11.15,15
2.221222,15
7.891,15
12.3456789,15
87.332,15
1.963856,15
45.78,15
16.461,15
0.029722,15
18.1,15
9,15
8.33,15
29.998989,15
43.6,15
48.85,15
1,15
18.2,15
51.2311,15
0.0228623,15
14.882268,15
0.42,15
21,15
15,15
0.1,15
8.69,15
12.921,15
10.68,15
8.94,15
9.2817,15
14.301,15
6.9713,15
2.98,15
6.515,15
13.38,15
34,15
10.489,15
11.68,15
6.72153,15
11.51,15
3.15,15
3.0588,15
8.724,15
6.66332,15
4.151413,15
8.7,15
8.768,15
2.71826,15
3.9145927,15
6.177468,15
68,15
0,15
0,15
2.323232,15
1.0986122,15
48.7,15
20.83,15
66.66666666,15
33.33,15
3.8,15
0.300012,15
17.2,15
18,15
17.3,15
18.58754,15
18.518,15
11.111111,15
52,15
1,15
44.7,15
99,15
75.625,15
16.36,15
66,15
23.7,15
25.5,15
14,15
14.42,15
30,15
56.102,15
44,15
51.422,15
50.5,15
15.8,15
72,15
56.25,15
32.89,15
13.201119,15
1.1892,15
9.03,15
100,15
17.01,15
35.65,15
33.5,15
4.2,15
7.2016,15
42,15
0.02777,15
0.07,15
21,15
42,15
17,15
0.72529,15
8.1234,15
15.123,15
13.14,15
3.88495,15
99.1,15
0,15
27,15
0.987654321,15
11.111,15
1.75,15
11,15
11.374,15
5,15
31.41592654,15
2.08,15
0.314,15
0.0173415,15
1.312,15
6.7,15
33.33,15
22.22231855,15
17.121996,15
25.131172,15
0.000000032,15
14.021963,15
11.85,15
2,15
11.37,15
6,15
21.991148,15
5.9,15
12.6,15
1.618,15
0.001,15
30.046,15
12,15
1,15
0,15
7,15
65.5,15
17,15
27.6,15
1,15
7.15361,15
27.8,15
22.2,15
0,15
3.1415927,15
34,15
2.785,15
2.718282,15
20,15
1.3,15
22,15
15.73,15
2.78,15
0.4120227,15
18.3,15
33.3,15
18,15
0.2222,15
18.5,15
17.104,15
0,15
0,15
43.2,15
33.333,15
12.121212,15
21.56,15
3.14159265,15
28.7364728,15
79,15
15.907,15
16.885,15
3.333,15
0.14232897,15
5.53086,15
4.2,15
3,15
9.8764,15
2.5,15
23,15
0,15
23.2678,15
12.46,15
8.5,15
13.011197,15
0,15
22.22222,15
18,15
0.52,15
22.22,15
7.77,15
3.14159,15
17.1,15
31.4159,15
3.84615,15
14.7,15
0.314159,15
3.7,15
51.37281,15
0,15
43.56,15
9,15
0.001,15
1.218,15
19.03,15
2.712,15
8.12345,15
5.8888,15
19.753,15
0.9843,15
8.6166666,15
2.8393,15
2.352,15
5.432,15
3.621333,15
11.597,15
7.02496,15
50,15
4.20155,15
7.36,15
0.1539,15
7,15
2.362986,15
63.48,15
13.57,15
8.8738,15
0.43519,15
0.0066,15
16.14159,15
20.044166,15
58.938,15
6.28388,15
16.6666,15
8.2511,15
17.3,15
0.04,15
7,15
17,15
12.4,15
3.33,15
4.3,15
0.849348,15
3.00001,15
0.0018,15
21.6,15
100,15
100,15
15.258,15
0.01,15
21.220659,15
8.9,15
1,15
4.385,15
7.4757,15
7,15
0,15
4,15
27,15
18.2876,15
37.65,15
27,15
0.0006666,15
0,15
6,15
18.54,15
6.35,15
3.6,15
17,15
0,15
2.7361666,15
0.04198765,15
49.9,15
12.57,15
22.12345,15
50,15
33.33333,15
14.81481,15
33.33333,15
26,15
0.0149,15
7.5914021,15
58,15
29.35,15
23.5,15
13.52111111,15
25,15
33.333,15
27.8,15
22.22222,15
9.3253,15
0.001242344,15
23.1,15
15.15732965,15
11.11,15
0.627,15
0.98,15
8.21,15
22.22,15
13.35647028,15
33.333,15
13.1687,15
1,15
5,15
51.2,15
22.45,15
6.393,15
22.20098778,15
57,15
65.7,15
16.0943951,15
1.8463,15
26.666,15
13,15
0.89,15
28.5,15
1,15
2.5031965,15
14.815,15
6.480740698,15
5,15
1.5,15
5.85,15
0.9876,15
8.79,15
18.666,15
12.597165,15
22.21098667,15
23,15
3.141,15
12,15
21.33356,15
75,15
7,15
22.33,15
10.5,15
33.33,15
27.3749,15
44.4,15
0.63179,15
42.10525,15
18.66666667,15
33.4,15
23.4567,15
0.890112,15
2.094395103,15
27.917546,15
8.539734223,15
9.876543206,15
36,15
0,15
62.9,15
0.582,15
81.5,15
50,15
46.32,15
22.2222,15
13.5,15
0.17,15
5.34,15
8.1,15
23.6,15
15,15
21,15
16.66666667,15
26.99,15
9.899,15
0,15
22,15
27.5982,15
0.87,15
11.3434333,15
15.379,15
63.28,15
23.2527,15
22.21098777,15
33.333,15
22.1,15
6.1289,15
55,15
37,15
6.28,15
33.333,15
63.743,15
33.33,15
35.9,15
16.123,15
37.3,15
20.8332,15
2,15
13,15
10.4,15
23.02,15
2.3857,15
12.47,15
26.666,15
22.20098778,15
50,15
44.21,15
33.333,15
22.35,15
29.01211535,15
2.9998,15
22.22,15
19.9,15
0,15
68.7,15
19.634955,15
7.1278,15
23.7,15
6,15
79,15
16.391,15
33.7,15
2.7071996,15
4.435763648,15
12.97,15
17.45,15
1.11111,15
4.0665829,15
12.743,15
0,15
19.829,15
23,15
10,15
16.5432,15
22.22,15
23.32,15
16.666667,15
37,15
4.38957476,15
22.327,15
42,15
44,15
34.7,15
14.814814,15
41.8,15
0.7823489,15
22,15
0.33,15
57.6,15
26.5,15
67,15
39.725,15
11,15
56.4,15
14.8,15
11.42,15
8,15
30,15
16.66,15
0.666666667,15
9.131,15
43.785,15
21.08374598,15
6.283185307,15
36,15
2.347815473,15
27,15
8.23592,15
5.121966,15
25.7,15
19.758,15
0.3333333,15
10.352,15
80,15
54.8,15
78.3,15
22,15
21.5,15
0.012827,15
2,15
50,15
34.6684931,15
30.8383561,15
7.8573542,15
6.3616438,15
1.3424657,15
18.21407407,15
12.36582965,15
7.7777777,15
14.8,15
16.4,15
27,15
5,15
9.876,15
4.6,15
40,15
50,15
14.815,15
0.856255974,15
8.327905333,15
31.893,15
67,15
14.15953,15
55.7,15
15.518074,15
0.19,15
34.06,15
0,15
42.42,15
40.7,15
75.5,15
48.73,15
27,15
17.3,15
31.8,15
23.33,15
16.73,15
33.334,15
50,15
14.24557,15
38.3,15
29,15
27.5,15
97,15
34.5,15
35.66488,15
13,15
66.65,15
35,15
1.3,15
8.25,15
71,15
25,15
29,15
30.1,15
1,15
43.5,15
33.3333,15
37,15
48,15
37,15
1.835724,15
69,15
1.6,15
7.26,15
9.281666,15
37.5,15
32.8,15
32.22,15
0.1005,15
36,15
1.635426,15
39,15
99.7,15
22.123,15
36,15
17.548,15
17.35,15
10.021971,15
33,15
66,15
51,15
0,15
0.00036907,15
63,15
23.6,15
9,15
14.15,15
100,15
69,15
10,15
45.3,15
18.4726,15
21,15
1.37,15
0.88,15
77,15
15.64999999,15
42,15
7.129863,15
33.75,15
31.569,15
0.312543746,15
11.3,15
51,15
63,15
59,15
4.03,15
22.5,15
6.9881,15
33.333,15
27,15
28,15
2.6522,15
2.9271,15
21.1269,15
22.2222,15
0.17,15
2.718281825,15
7.207619047,15
22.22222,15
47.8,15
18.499,15
25,15
61.5,15
11.11111,15
47.4,15
13,15
22.5,15
1.2,15
2.512,15
22.2258,15
21.73,15
100,15
100,15
11,15
27.3216,15
18.5,15
20.3,15
7.8539816,15
36.73765,15
13.34963264,15
33.66666,15
11.446667,15
27.8,15
33.33333,15
11.93,15
14.234,15
4.4438829,15
44.44444,15
1.22222,15
93.5,15
53,15
29,15
27.1,15
33.33333,15
45.75,15
58.2,15
6.66666,15
45,15
14.245464,15
0.318309,15
4.830090139,15
22.37,15
46.311,15
19.7,15
18.333,15
34.34,15
54.5,15
67.5,15
42,15
10,15
25.2085,15
11.88,15
6.7575,15
22,15
23,15
0.481,15
33,15
10.6,15
16.8,15
13,15
12.5601,15
33,15
13.28,15
47.3,15
54.03,15
0,15
51.454646,15
32.5,15
33.33,15
28.2,15
36.85,15
26,15
36.87,15
12,15
53,15
17.358,15
9.3,15
49,15
9.8843,15
2.78,15
33.33,15
29.257941,15
48.2,15
21.75,15
0.751234,15
0.498752,15
16,15
38.318,15
0.3678797,15
47.636364,15
74.5,15
70,15
36.666,15
25,15
65,15
14.14,15
41,15
32.67,15
34,15
86.75,15
45,15
34,15
34,15
34,15
29.238,15
33.3,15
7.456789,15
45.6,15
33.333,15
14.814815,15
3.33,15
22,15
46.3,15
34.2,15
23.7844,15
17.9,15
70.71,15
9.278,15
0.66,15
33.333,15
77,15
0.424242,15
24,15
1.555552,15
63.67,15
32.3,15
